"category","repeat_customers","avg_days_to_repurchase"
"bed_bath_table",396,62.8
"furniture_decor",281,67.6
"sports_leisure",280,76.6
"health_beauty",230,75.9
"computers_accessories",180,78.4
"housewares",152,87.2
"watches_gifts",115,89.1
"garden_tools",100,104.0
"telephony",98,95.3
"fashion_bags_accessories",96,79.7
"toys",88,100.1
"perfumery",86,93.3
"auto",75,77.2
"cool_stuff",68,106.2
"baby",61,89.1
"home_appliances",58,22.1
"pet_shop",50,96.5
"stationery",47,76.4
"electronics",40,92.2
"office_furniture",28,73.6
"luggage_accessories",20,112.8
"consoles_games",19,68.3
"home_confort",17,34.5
"furniture_living_room",16,145.0
"construction_tools_construction",15,28.6
"small_appliances",13,41.2
"food",12,109.4
"drinks",12,57.2
"books_general_interest",12,98.3
"fashion_shoes",11,110.8
"air_conditioning",11,44.8
"home_construction",10,69.8
"musical_instruments",10,111.6
"audio",9,98.9
"market_place",8,64.9
"fashion_male_clothing",7,84.3
"food_drink",6,28.3
"costruction_tools_garden",6,139.3
"fixed_telephony",6,209.2
"furniture_bedroom",5,8.8
"fashion_underwear_beach",5,60.1
"industry_commerce_and_business",5,13.9
"kitchen_dining_laundry_garden_furniture",5,10.0
"art",4,20.5
"construction_tools_safety",4,95.2
"christmas_supplies",4,131.8
"construction_tools_lights",4,6.8
"home_appliances_2",4,2.8
"fashio_female_clothing",3,328.3
"arts_and_craftmanship",3,92.7
"books_technical",2,6.0
"la_cuisine",2,128.0
"furniture_mattress_and_upholstery",2,76.5
"agro_industry_and_commerce",2,7.5
"signaling_and_security",2,138.3
"home_comfort_2",1,34.0
"computers",1,0.0
"dvds_blu_ray",1,7.0
"diapers_and_hygiene",1,57.0
"cine_photo",1,83.0
"fashion_childrens_clothes",1,0.0
"books_imported",1,13.0
